comment,Sentiment Score
Being a kannadiga  proud of what we did  ,"{'neg': 0.0, 'neu': 0.244, 'pos': 0.756, 'compound': 0.4767}"
"Apj Abdul kalam sir said 
For ""Great people religion is a way of making friends but small people make religion a fighting tool""
Our karnataka people united and took very good decision 
 ","{'neg': 0.071, 'neu': 0.565, 'pos': 0.364, 'compound': 0.886}"
"Proud to be a south indian (tamilnadu) 
Proud of our neighbour ( karnataka)
education is the key/","{'neg': 0.0, 'neu': 0.53, 'pos': 0.47, 'compound': 0.7351}"
"As a Tamilian, im so proud of our kannadiga people. ","{'neg': 0.0, 'neu': 0.563, 'pos': 0.437, 'compound': 0.4767}"
"I work in Bangalore. I came back after my vacation on theprevious day of results. I talked to two people and they agreed that they received money to vote from both BJP and Congress

One person said that their family received money from all the three main parties, so his family of 6 divided their vote 2 for each party.","{'neg': 0.0, 'neu': 0.783, 'pos': 0.217, 'compound': 0.7579}"
We want an India where common people can live peacefully... educated people of Karnataka choose devlopment oriented party and rejected communal party,"{'neg': 0.13, 'neu': 0.472, 'pos': 0.398, 'compound': 0.7003}"
"We kannadigas , dont want to listen to any kerala story nor to any religious drama.. We r self sufficient and we will grow. We vote for growth not hatred, we vote for our day to day lives.we vote for equality not for suppression of any upper or lower caste in the name of religion or reservation. We are one of the most friendliest in the country with much needed diversity. And if congresa turns out to be corrupt,we will get them down to ashes without a seconds thought..jai kannadambe.","{'neg': 0.142, 'neu': 0.743, 'pos': 0.115, 'compound': -0.1083}"
"This is what i need from Indians by not supporting Hate Speech Party.
This doesn't mean i like Congress.
I like the politician who is honest.(Hard to Find )
Jai Hind","{'neg': 0.33, 'neu': 0.354, 'pos': 0.315, 'compound': 0.1481}"
Dhruv rather and u never fails to disappoint us,"{'neg': 0.0, 'neu': 0.466, 'pos': 0.534, 'compound': 0.5559}"
"I'm just glad that people started looking at solving local issues rather than talking only about arbitrary ideas put forward by the central BJP. 

I'm proud to be an Indian but I also believe that solving local problems is more important than worrying about something that doesn't affect us directly. Once we are sorted then we worry about the rest of the country, then the rest of the world.","{'neg': 0.161, 'neu': 0.584, 'pos': 0.256, 'compound': 0.5719}"
This is called the wisdom of South India.,"{'neg': 0.0, 'neu': 0.469, 'pos': 0.531, 'compound': 0.5267}"
Wow. Karnataka people really showed the mirror to the hatemonger party. They have the guts.,"{'neg': 0.0, 'neu': 0.519, 'pos': 0.481, 'compound': 0.7579}"
"I think opposition parties need to watch ""The deshbhakt"" videos to know their weaknesses and formulate their strategies for elections","{'neg': 0.145, 'neu': 0.698, 'pos': 0.157, 'compound': 0.0516}"
"If you want to see the REAL Kerala story, watch 2018. It became the fastest movie to cross 100 cr in Malayalam. No propaganda no divisiveness. Just passion and brotherhood. Loved each second of the movie.","{'neg': 0.074, 'neu': 0.625, 'pos': 0.301, 'compound': 0.7351}"
THE POWER OF EDUCATED PEOPLE,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"well explained sir, Proud to be a Kannadiga, Hope the new government will work to fulfill their promises and development of our beloved Karnataka State","{'neg': 0.0, 'neu': 0.347, 'pos': 0.653, 'compound': 0.9423}"
"That's why KARNATAKA is IT hub of India🇮🇳 and UTTAR PRADESH+BIHAR still hang in casteism, religious issues...... .","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"Unlike people of most states , Karnataka people are truly EDUCATED","{'neg': 0.0, 'neu': 0.674, 'pos': 0.326, 'compound': 0.4404}"
"As a Bangalorean, I am sorry to say this but I personally believe that the influx of North Indians  into Bangalore has led to increased vote share for BJP here. It would like to see some data on this though.
Also, Religious divide should never be a reason for any party to win an Election","{'neg': 0.193, 'neu': 0.61, 'pos': 0.198, 'compound': 0.0439}"
"This country of ours… must avoid becoming a community of dreadful fear and hate, and be, instead, a proud confederation of mutual trust and respect! Love from Kashmir for bhai Akash and to you all","{'neg': 0.324, 'neu': 0.297, 'pos': 0.378, 'compound': 0.4574}"
Outstanding analysis! Thanks Akash ji for the nice presentation with sub titles in English by which I could understand the presentation in full! ,"{'neg': 0.0, 'neu': 0.517, 'pos': 0.483, 'compound': 0.8829}"
I think education is a lot important role playing here. When i say education its bot degrees but the thought process the way we treat each other is a lot good in Karnataka. Congratulations to Congress and lets hope they aline with all other opposition and conquer what they aim for.,"{'neg': 0.0, 'neu': 0.543, 'pos': 0.457, 'compound': 0.9325}"
"Same thing was seen in Delhi in 2020 elections, hate campaign vs campaign on local issues","{'neg': 0.27, 'neu': 0.73, 'pos': 0.0, 'compound': -0.5719}"
"South India has a higher literacy rate than the north. na kerala story kaam aai, na magarmach ke aansu
Hats off to the people of Karnatka for rejecting the policy of hatred,communalism and dictatorship.","{'neg': 0.255, 'neu': 0.745, 'pos': 0.0, 'compound': -0.802}"
Very proud on people of Karnataka ,"{'neg': 0.0, 'neu': 0.392, 'pos': 0.608, 'compound': 0.4767}"
Always happy to see the honest and balanced news coverage of your channel. Respect and love to Banarjee and team,"{'neg': 0.0, 'neu': 0.359, 'pos': 0.641, 'compound': 0.936}"
"I am from Karnataka, every party gave money to vote. All voters took money and voted to whom they really wanted. All are educated here, godhi media doesnt work as all use their own way of news assessing.","{'neg': 0.0, 'neu': 0.881, 'pos': 0.119, 'compound': 0.4019}"
It's good to see that people know the truth and did the right choice.,"{'neg': 0.0, 'neu': 0.536, 'pos': 0.464, 'compound': 0.6369}"
Well done karnataka people  lots of love from Tamilnadu ,"{'neg': 0.0, 'neu': 0.442, 'pos': 0.558, 'compound': 0.743}"
"It was a bad signal by BJP that they had to bring Bajrang bali to get votes. BJP could not show what they have done so far in any state.
Modi himself ignored wrestlers protesting, I don't think such ignorance can be allowed in any democracy ","{'neg': 0.289, 'neu': 0.64, 'pos': 0.071, 'compound': -0.7572}"
"Positive comments  thank you my tamilian brothers for showing your support for Kannadigas and every commite.. 
Jai hind Jai Karnataka..","{'neg': 0.0, 'neu': 0.596, 'pos': 0.404, 'compound': 0.8316}"
As a Singaporean.  I salute the people of Karnataka. This is the way to go. Indians are so hard working and capable. Hope rest of India wakes up,"{'neg': 0.078, 'neu': 0.615, 'pos': 0.307, 'compound': 0.6249}"
"Thanks a lot for Kannadigas for getting rid off this BJP. As a tamil, I was concerned about their presence in south india. Hate polictics will bite us one day. Thanks for kannadigas to keep that far way from TN","{'neg': 0.125, 'neu': 0.678, 'pos': 0.197, 'compound': 0.2732}"
Nicely broken down and comprehensively explained! Keep up the good work young man! May a thousand roses like you bloom across our land!,"{'neg': 0.128, 'neu': 0.494, 'pos': 0.378, 'compound': 0.7249}"
Thats the power of our South Indian unity,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"Karnataka People have shown India the true meaning of patriotism, unity and progress. Congratulations and Jai Hind!","{'neg': 0.0, 'neu': 0.479, 'pos': 0.521, 'compound': 0.8687}"
"You are probably the only one on social media who is talking about Karnataka results. Kudos to you for this coverage. 
It's a big success for Congress!","{'neg': 0.0, 'neu': 0.601, 'pos': 0.399, 'compound': 0.807}"
As a citizen of India and Karnataka i feel shame because on this election both parties have given 500-1000rs per vote in most of regions  to people from where this huge amount of money came and when our people get aware that they also encouraging corruption ,"{'neg': 0.102, 'neu': 0.623, 'pos': 0.275, 'compound': 0.6486}"
"Proud to be a South Indian 
No BJP in South state's ","{'neg': 0.0, 'neu': 0.659, 'pos': 0.341, 'compound': 0.4767}"
One should appreciate the wisdom of Karnataka people - hatsoff!Couldn’t believe it .,"{'neg': 0.0, 'neu': 0.439, 'pos': 0.561, 'compound': 0.75}"
I am living in Odisha from past 5 years .. i should say BJD is too good at development.. Very good development rate...  Eventually i love BJD.. i want BJD at Bihar...,"{'neg': 0.0, 'neu': 0.614, 'pos': 0.386, 'compound': 0.8834}"
"Amitsha :look at kerala
People :looked to kerala and wiped out bjp ","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Voters of karnataka are waking up. Thanks Akash for providing such a well researched video. Hindustan Zindabad !!!,"{'neg': 0.0, 'neu': 0.605, 'pos': 0.395, 'compound': 0.7074}"
"My dear Kannadiga brothers have released a new movie “The Karnataka story “, and set the narrative for local elections in my home state of Telangana, let us hope we repeat the same narrative with “The Telangana story “ and consign the hate mongers into the dustbin of history. Love and respect to my fellow Kannadigas","{'neg': 0.087, 'neu': 0.612, 'pos': 0.301, 'compound': 0.8442}"
Jai Hind🇮🇳🇮🇳🇮🇳🇮🇳 jai Karnataka.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"Well analyzed, but some points missed that D.K Shivkumar is the architect of Congress strategy, and his organizational skills ensured the 40% commission slogan reached the masses perfectly. I am proud of Kannadigas, as they rejected hatred and communal politics, and instead voted against corruption, non-development, unemployment, poverty, and real local issues. It's high time that the Hindi belt  (U.P, M.P, Bihar,) of this country learns from the south Indian states that Hatred politics will not help them to flourish, instead, it will take them to the stone age. If mass migration of laborers from UP, Bihar to Bangalore, Chennai, and Kerala is to be stopped then start voting on the basis of core important development issues, vote against mega corruptions, vote against Anarchy, and raise questions against the tyrant communal politics only then you will flourish!!! Learn from the SOUTH INDIA, WHICH IS NOW BJP MUKTH!!!!!","{'neg': 0.21, 'neu': 0.652, 'pos': 0.139, 'compound': -0.871}"
Literacy rate is pretty higher in Karnataka and I really appreciate their decision,"{'neg': 0.0, 'neu': 0.492, 'pos': 0.508, 'compound': 0.7346}"
"As a Tamilian living abroad, I can’t believe sometimes how much we find in common with North Indians outside India, but we seem to be so different when I used to live in India.
Just goes to show how much poison and toxicity we were fed at home. Our politicians exploit our differences and never talk about what unites us.","{'neg': 0.145, 'neu': 0.855, 'pos': 0.0, 'compound': -0.5994}"
A big thanks to my Karnataka South Indian Brother Sisters ....,"{'neg': 0.0, 'neu': 0.707, 'pos': 0.293, 'compound': 0.4404}"
Very superior election results analysis and very strong instructions and valuable advise to political parties if they accept ,"{'neg': 0.0, 'neu': 0.283, 'pos': 0.717, 'compound': 0.9349}"
We need an educated and humble Pm for our country so vote for Rahul sir to make a better india.,"{'neg': 0.0, 'neu': 0.775, 'pos': 0.225, 'compound': 0.4404}"
"As a Kannadiga, I would like to correct few things here! 

1- DK shivkumar aggressiveness is the reason behind to attract most of the voters and he worked very hard from 1 year unlike siddaramiah who was seen only during campaigning","{'neg': 0.165, 'neu': 0.628, 'pos': 0.208, 'compound': 0.2714}"
Hope the same will repeat in 2024 election ,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}"
"Being a indian from Goa, I look forward to see my nation free from corruption, State sponsored media, religious politics & every hate mongering groups no matter it's PFI or Bajrang Dal... And I don't think  there's a needs to justify any of the reason cuz there're absolute proofs of their catastrophic results","{'neg': 0.202, 'neu': 0.696, 'pos': 0.102, 'compound': -0.6486}"
Salute to voters of Karnataka..... congratulations to Rahul Gandhi....,"{'neg': 0.0, 'neu': 0.642, 'pos': 0.358, 'compound': 0.5994}"
Thank You for a very beautifully explained analysis of the situation ,"{'neg': 0.0, 'neu': 0.326, 'pos': 0.674, 'compound': 0.7351}"
Well done this proves literally proves literacy rate of south india.,"{'neg': 0.0, 'neu': 0.792, 'pos': 0.208, 'compound': 0.2732}"
Salute to The People of Karnataka ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"Nehru ,Patel and Subhash Babu smiling from Heaven .","{'neg': 0.0, 'neu': 0.388, 'pos': 0.612, 'compound': 0.743}"
Hate is temporary but love is permanent. Karnataka rejected the hate politics.,"{'neg': 0.566, 'neu': 0.212, 'pos': 0.222, 'compound': -0.7579}"
This election result is a slap on the face of the face of religion politics. People voted for unity over communal politics.,"{'neg': 0.0, 'neu': 0.873, 'pos': 0.127, 'compound': 0.1531}"
Thanks to Karnataka People Everyone came in one single line..And Voted for change,"{'neg': 0.0, 'neu': 0.775, 'pos': 0.225, 'compound': 0.4404}"
Best analysis presented by Shri. Bhakt - congrats,"{'neg': 0.0, 'neu': 0.345, 'pos': 0.655, 'compound': 0.8225}"
As a Deccani  I am proud that my Hyderabadi Karnataka region did not support any 'B' team of Bjp and extended big support to only national democratic Gandhian party of India. ,"{'neg': 0.0, 'neu': 0.517, 'pos': 0.483, 'compound': 0.8807}"
It was hopeful to see the WB primary teachers matter ,"{'neg': 0.0, 'neu': 0.476, 'pos': 0.524, 'compound': 0.5267}"
The Karnataka result shows that Karnataka people are very well educated and mature enough ,"{'neg': 0.0, 'neu': 0.588, 'pos': 0.412, 'compound': 0.5994}"
"As a neutral person , I don't think Congress can do as much as this in the centre , but I'm happy to see the balance and yes there is no wrong in EVMs . States are in the hands of the opposition while the centre is in the hands of the ruling . Welp it looks completely balanced","{'neg': 0.102, 'neu': 0.689, 'pos': 0.21, 'compound': 0.5106}"
for the 1st time in many many years I watch a deshbhakht episods where Akash sir showes some positivity towards congress.... it's also a big achievement ,"{'neg': 0.0, 'neu': 0.845, 'pos': 0.155, 'compound': 0.5106}"
Sidramayya mass leader of Karnataka without any controversy man without sidramayya congress not there in Karnataka sidramayya next level leader  almost peoples  voted for this person only because his honest man,"{'neg': 0.0, 'neu': 0.858, 'pos': 0.142, 'compound': 0.5106}"
"Excellent comment on Indian election.

Good of Indian election is that there is no interference of dirty politics of army, judiciary and rowdyism and illegal acts of ruling party. This confirms that there is true democracy in India, which is superb.","{'neg': 0.172, 'neu': 0.398, 'pos': 0.43, 'compound': 0.8658}"
"This topic was supposed to be the discussion by mainstream media but unfortunately the Godi we have, is still not ready to digest the defeat of its party and waiting like hyena for some bad developments inside Congress. No word can define the shamelessness of the Godi, we have. Very unfortunate times of our democracy.","{'neg': 0.358, 'neu': 0.45, 'pos': 0.193, 'compound': -0.765}"
"Finally Karnataka got independence from BJP. Now people can live peacefully without 24 hours Hindu Muslim issues, corruption,  hatredness. Jai Congress ","{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.5267}"
"Don't forget the contribution of former IAS officer Sasikanth Senthil as war room chairman of the Karnataka Congress, who played a key role in campaigning and countering the BJP by fact-check monitoring.","{'neg': 0.15, 'neu': 0.693, 'pos': 0.157, 'compound': -0.2105}"
"Fabulously explained  sir being a Gulbargian specially north Gulbargian it's a proud moment for me you took the name of our MLA madam but sir it's a humble request to you to pronounce the name of my city correctly it's ""Gulbarga"" not 'Gulbarg'. By the way, I like your videos , the way you explain the political issues ","{'neg': 0.0, 'neu': 0.851, 'pos': 0.149, 'compound': 0.6808}"
"Respect people, dont even think to hurt their emotions...Let the elected rule, please do not teach us how to pray..eat or dress..Common man is least bothered about all such matters, they know what to do..interestingly...how to cast their votes..","{'neg': 0.0, 'neu': 0.596, 'pos': 0.404, 'compound': 0.9222}"
"At the end,  the policies offered and provided by AAP are accepted in southern region too.  People have to accept it. The party works for people will be chosen by people.","{'neg': 0.0, 'neu': 0.619, 'pos': 0.381, 'compound': 0.7506}"
"respect to south India's educated and responsible peoples 
and that's why education is important for our country states like Kerala TN karnatka bengal every each states which are educated peoples live there is no palce for hate","{'neg': 0.114, 'neu': 0.586, 'pos': 0.299, 'compound': 0.6124}"
"Now the country have to think about having educated, intelligent, hard working, sensible, sympathetic and understanding PM. Let's hope for the best.","{'neg': 0.059, 'neu': 0.378, 'pos': 0.563, 'compound': 0.9186}"
"As a citizen, i am happy to see this result in Karnataka. This is not just a matter of bjp's loss or congress' win, but in fact, it's a win of democracy too where ppl will vote on the basis of development and country's welfare, not for any personal agenda promoted by other opposition parties. And, ppl of South have again proved that democracy is still relevant in today's polarizing culture. A true Indian at heart","{'neg': 0.042, 'neu': 0.582, 'pos': 0.376, 'compound': 0.9545}"
As always.. spot on dada. It is inaccurate for people to assume that Karnataka template will repeat in Loksabha till we have a single leader being promoted as Leader in waiting to be PM.,"{'neg': 0.0, 'neu': 0.859, 'pos': 0.141, 'compound': 0.4215}"
"Because South is full of Wise, Smart and  Responsible People. That's why they chose Congress this time, for a change and a change for good. I hope people from North India learn something from them and make the voting decision wisely this time at least. It's high time for a change.","{'neg': 0.0, 'neu': 0.579, 'pos': 0.421, 'compound': 0.9403}"
"I commend Deshbhakht’s bravery to stand firm on the side of truth. 

Salute to my brothers and sisters in Karnataka .","{'neg': 0.0, 'neu': 0.488, 'pos': 0.512, 'compound': 0.8126}"
"Karnataka is getting the petrol @50 per liter, LPG@500 per cylinder and Electricity inclding AC bill at 200 unit per month free per household. What an amazing Govt. I am sure the govt is going to beg from Central Govt about the illusioned dues like West Bengal govt soon will be bankrupt","{'neg': 0.076, 'neu': 0.674, 'pos': 0.251, 'compound': 0.8074}"
As a Bangalorean I felt a breath of fresh air wen voting results came out. Kannadigas are innocent & humble ppl. But from past few yrs BJP had poisoned environment with communal hatred.,"{'neg': 0.263, 'neu': 0.569, 'pos': 0.167, 'compound': -0.5719}"
"Bjp needs to understand that unemployment, welfare and development with ground work are more important in educated states.","{'neg': 0.212, 'neu': 0.657, 'pos': 0.131, 'compound': -0.2732}"
"Kannadigas proved again they believe in unity, togetherness,  inclusiveness. Unfortunately North India always gets carried away on religious politics. 
Lots of love to my fellow kannadigas.","{'neg': 0.102, 'neu': 0.72, 'pos': 0.178, 'compound': 0.4215}"
"This was expected. BJP High Command went to the extent of sidelining state's BJP leaders, irrespecting them and the Delhi BJP had a notion that they are getting votes in Karnataka because of only Modi's name. They didn't even let Yeddyurappa complete his term as CM.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"Proud to be a kannadati
Our state our pride! We the proud untied people! ","{'neg': 0.0, 'neu': 0.303, 'pos': 0.697, 'compound': 0.8475}"
Hi Sir. I respect you very much. I hope you are standing on side of truth. I am from Kerala and I wish if you can focus on Kerala which is becoming a terror and smuggling hub. Im,"{'neg': 0.228, 'neu': 0.386, 'pos': 0.386, 'compound': 0.5423}"
As a resident of andhra pradesh and basically tamilan im really appreciate our kannada brothers and sisters u have done a great job by deciding a real leader for the state ,"{'neg': 0.0, 'neu': 0.693, 'pos': 0.307, 'compound': 0.796}"
As a Keralite I thank my Kannadiga sisters and brothers for voting out bigotry️,"{'neg': 0.0, 'neu': 0.706, 'pos': 0.294, 'compound': 0.3612}"
"As voting of individual remains always a secret thing, tough to know the truth. I am sure, if BJP could have won, Akashji could have made a quick video of how BJP has won. After demo, BJP/Namo won UP. I believe, this result is completely unexpected for congress and BJP. Now, going forward, can congress survive here for 05 years and govern better to ensure another next 05 years as well?","{'neg': 0.031, 'neu': 0.713, 'pos': 0.256, 'compound': 0.8658}"
Best work done by karnataka people ,"{'neg': 0.0, 'neu': 0.488, 'pos': 0.512, 'compound': 0.6369}"
"The definite takeaway is to present an alternative, positive agenda and not just countering BJP’s agenda, thereby falling into their trap.","{'neg': 0.222, 'neu': 0.455, 'pos': 0.324, 'compound': 0.4215}"
"Superb  review bhai 
Excellent ur presentation ","{'neg': 0.0, 'neu': 0.339, 'pos': 0.661, 'compound': 0.8316}"
This was necessary for the democracy ️,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
People of Karnataka has sent an encouraging message to the whole that for a Nation to progress we need to vote for real issues and not fake propganda!,"{'neg': 0.151, 'neu': 0.534, 'pos': 0.315, 'compound': 0.5255}"
The analysis is so good that I feel my knowledge is less and I watched it again . Well done Akash.,"{'neg': 0.0, 'neu': 0.597, 'pos': 0.403, 'compound': 0.575}"
"Thats all i was aking for
A strong opposition national party who can challenge bjp
Ultimately a healthy democracy
Its not about congress or just bjp ","{'neg': 0.0, 'neu': 0.474, 'pos': 0.526, 'compound': 0.8402}"
Proud to be Kannadiga.. Thank you everyone who did the r8 thing..,"{'neg': 0.0, 'neu': 0.517, 'pos': 0.483, 'compound': 0.6808}"
The X-factor in these elections was Sunil Kanugolu ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Hats off to the secular and progressive minded people of Karnataka.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"You are the only one who is pronouncing KARNATAKA and KANNADA correctly..
please continue like this.. Even ravish Kumar doesn't ..","{'neg': 0.0, 'neu': 0.73, 'pos': 0.27, 'compound': 0.5859}"
One word i.e Education ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Congress must get its act straight.. once the party comes in power they forget all their guarantees and promises.. ,"{'neg': 0.105, 'neu': 0.497, 'pos': 0.398, 'compound': 0.6486}"
Love and respect to people of Karnataka,"{'neg': 0.0, 'neu': 0.215, 'pos': 0.785, 'compound': 0.8074}"
Nice in depth analysis done by you,"{'neg': 0.0, 'neu': 0.517, 'pos': 0.483, 'compound': 0.4215}"
"It takes guts and sheer will power to ignore the star power of Modi, the money power, the rampant polarization and the entire media machinery and stay focussed on issues and vote. Hats off to people of Karnataka!!! ","{'neg': 0.138, 'neu': 0.862, 'pos': 0.0, 'compound': -0.5229}"
"Now no-one can raise questions about democracy and elections in India 🇮🇳️.
Opposition party needs to be strong.
Congratulations Congress. ","{'neg': 0.0, 'neu': 0.503, 'pos': 0.497, 'compound': 0.872}"
"I UNDERSTAND THAT
SAME ISSUES DON'T STAY FOREVER.
SLOWLY SLOWLY PEOPLE REALISES REALITY. COMMON MASSES MAYBE 'BHOLE-BHALE"" BUT CAN'T BE TAKEN ALWAYS.
JAÍ SAMVIDHAN JAI HIND JAI BHARAT .","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Most of the south Indian dont bring religion in to politics 🪷 ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"Excellent ! ! !
Very well presented.
Keep up the good work.
The Karnataka results have reagained a hope in democracy","{'neg': 0.0, 'neu': 0.359, 'pos': 0.641, 'compound': 0.9095}"
"Not sure whose win it is if you see the tussle for CM seat now. It is hard to win two terms continuously in Karnataka.  It is also hard to balance the caste equations there - It does not matter which party wins - Despite full/absolute majority, it is as good as hung.","{'neg': 0.131, 'neu': 0.429, 'pos': 0.439, 'compound': 0.9216}"
"Proud to be a kannadiga
ಜೈ ಕರ್ನಾಟಕ ️🇮🇳","{'neg': 0.0, 'neu': 0.563, 'pos': 0.437, 'compound': 0.4767}"
We need people like you. India needs a strong and secular Govt.,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.7003}"
Salute to the people of Karnataka ️,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Karnataka People show how Conscious they are.. Kudos,"{'neg': 0.0, 'neu': 0.602, 'pos': 0.398, 'compound': 0.5106}"
